,vendor_key,vendor,type_key,type,model_key,model
0,apple,apple,appletv,apple_tv,Dell Printer E310dw,dell_printer_e310dw
1,appletv,apple,KD-75Z9F,sony_tv,DCS-930LB,dlink_camera_dcs-930lb
2,iphone,apple,homepod,apple_smartspeaker,vivo-X21A,vivo_phone_x21a
3,samsung,samsung,iphone,apple_phone,vivo-X20A,vivo_phone_x20a
4,huaweite,huawei,NX563J,nubia_phone,bbk-S3P,bbk_jiajiaoji_s3pro
5,microsof,microsoft,Smartisan-Pro-2S,smartisan_phone,"AppleTV3,2",apple_tv_a1469
6,xboxone,microsoft,meilan,meizu_phone,OPPO-A7x,oppo_phone_a7x
7,surface,microsoft,Nintendo,nintendo_gameconsole,vivo-X21i-A,vivo_phone_x21i-a
8,cisco,cisco,Galaxy-Note9,samsung_phone,vivo_V3Max_A,vivo_phone_v3max-a
9,amazonte,amazon,KD-55X9000F,sony_tv,bbk-S1P,bbk_jiajiaoji_s1pro
10,nubiatec,nubia,KD-70X8300F,sony_tv,KD-75X8500F,sony_tv_kd-75x8500f
11,vivomobi,vivo,HS100,tplink_plug,KD-75X7800F,sony_tv_kd-75x7800f
12,lgwebostv,lg,HS110,tplink_plug,KD-70X8300F,sony_tv_kd-70x8300f
13,xiaomico,xiaomi,MI8-xiaomishouji,xiaomi_phone,vivo-X20,vivo_phone_x20
14,quantaco,quantaco,vivo-X23,vivo_phone,MIX2SART,xiaomi_phone_mix2sart
15,sony,sony,KD-75X8500F,sony_tv,vivo-Y85A,vivo_phone_y85a
16,gioneeco,gionee,AGS2-W09,huawei_pad,LLD-AL10,huawei_phone_honor9lite
17,hp laserjet,hp,macbookpro,apple_computer,FIG-TL10,huawei_phone_changxiang7s
18,macbookpro,apple,mbp,apple_computer,Honor_8_Pro,huawei_phone_honor8pro
19,Tp-LinkT,tplink,LDN-AL00,huawei_phone,LED50D7200I,changhong_tv_led50d7200i
20,IkuaiNet,ikuai,HUAWEI_P20,huawei_phone,XTC_Z2y,xiaotiancai_watch_z2y
21,iKuaiAP,ikuai,xiaomishouji,xiaomi_phone,HUAWEI_G9_Youth,huawei_phone_g9youth
22,oppo,oppo,lenovo-PC,lenovo_computer,LDN-TL10H,huawei_phone_y7prime
23,vivo,vivo,TRT-AL00A,huawei_phone,FLA-AL20,huawei_phone_changxiang8plus
24,NewH3cTe,newh3c,HUAWEI_Mate_9,huawei_phone,HUAWEI_nova_3i,huawei_phone_nova3i
25,xiaomishouji,xiaomi,HUAWEI_nova,huawei_phone,vivo-Y83A,vivo_phone_y83a
26,Dell,dell,HUAWEI_Mate_20,huawei_phone,Galaxy A6s,samsung_phone_galaxy-a6s
27,Motorola,motorola,vivo-X20A,vivo_phone,vivo-Y55,vivo_phone_y55
28,Smartisa,smartisan,OPPO-R17,oppo_phone,HUAWEI_nova_youth,huawei_phone_nova-youth
29,MeizuTec,meizu,vivo-Xplay6,vivo_phone,HUAWEI_nova,huawei_phone_nova
30,OneplusT,oneplus,HUAWEI_nova_2,huawei_phone,HUAWEI_P10_Plus,huawei_phone_p10plus
31,HmdGloba,hmdglobal,HUAWEI_Mate_10_Pro,huawei_phone,KIW-AL10,huawei_phone_honorplay5x
32,BelkinIn,belkin,Honor_9i,huawei_phone,KIW-TL00,huawei_phone_honorplay5x
33,MideaGro,midea,LLD-AL30,huawei_phone,Honor_V10,huawei_phone_honorv10
34,Wiwide,wiwide,Honor_9_Lite,huawei_phone,HONOR_V20,huawei_phone_honorv20
35,OnePlus_6T,oneplus,LLD-AL10,huawei_phone,vivo_X7,vivo_phone_x7
36,Galaxy-Note8,samsung,Honor_8,huawei_phone,LLD-AL30,huawei_phone_honor9i
